region,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder
Oceania,2018,10.73383617401123,0.9469999969005585,70.4749984741211,0.932664155960083,0.12725414335727686,0.30561386048793787,0.7455208003520966,0.17770390957593912,7.273639678955078
Oceania,2019,10.741278171539307,0.9407977759838104,70.54999923706055,0.9147896468639374,0.13263377174735064,0.33201994001865387,0.7460094094276428,0.19668322056531906,7.219584703445435
Oceania,2020,10.720541000366211,0.9442538917064668,70.625,0.9117187857627868,0.15873627737164495,0.3869313895702362,0.7607918381690979,0.20680936425924296,7.1973748207092285
Oceania,2021,10.75407600402832,0.9347937405109406,70.70000076293945,0.9113260209560394,0.2248907089233398,0.35304979979991913,0.7434718906879425,0.22074476629495615,7.124149799346924
Oceania,2022,10.775644302368164,0.948631078004837,70.7750015258789,0.842227429151535,0.16776052862405777,0.41287070512771606,0.7085587978363037,0.22706659883260727,7.004841327667236
Oceania,2023,10.783000946044922,0.9146735668182373,70.8499984741211,0.8761886060237885,0.1843503415584564,0.3926181346178055,0.7345933020114899,0.23837276548147202,7.000268936157227
The Americas,2010,9.441033623435281,0.8592632792212747,64.01363615556197,0.755418674512343,0.0012749264186078953,0.7538778483867645,0.7617111300880258,0.24484844708984543,6.254640600898049
The Americas,2011,9.480319023132324,0.8366191251711412,64.34000032598323,0.7871109016916968,-0.017728000317054623,0.7521667223085057,0.7572896859862588,0.2694563899527896,6.1570847467942675
The Americas,2012,9.501321294090964,0.854832492091439,64.66636362942782,0.7921648133884777,0.01134486229751598,0.7520052519711581,0.7567063610662114,0.28645787015557284,6.167515451257879
The Americas,2013,9.523874456232244,0.8574298484758898,64.99272727966309,0.7945702428167517,-0.012908492829989295,0.7573372708125548,0.7733350558714434,0.28468772294846445,6.2738049897280606
The Americas,2014,9.522316065701572,0.8541118421337821,65.31909092989835,0.7868816771290519,-0.008114892558131193,0.7526772130619396,0.7774961861697111,0.28715314580635587,6.170974807305769
The Americas,2015,9.49882767417214,0.8487145033749667,65.64545458013362,0.7836814057646375,-0.0211227067153562,0.7747910821979697,0.7679773821975245,0.30240781018228235,6.029884204720005
The Americas,2016,9.467458204789596,0.8549920916557312,65.76250024275346,0.7875066620833947,-0.03327293200841679,0.7880835438316519,0.7557573499101582,0.30203828057556437,5.990353381994999
The Americas,2017,9.408868767998435,0.8658797253261913,65.87954521179199,0.838278899138624,-0.05935840071602299,0.7648552466522563,0.7509004202756014,0.2916019105098464,6.10273446819999
The Americas,2018,9.418093312870372,0.857762791893699,65.99659070101652,0.8333878110755574,-0.05255642941814253,0.7784928029233759,0.7616451125253331,0.3024944104254245,6.043648849834096
The Americas,2019,9.4033418785442,0.8476171114227988,66.10000020807439,0.8356911594217474,-0.052381766198033614,0.7770870070565831,0.7609775743701241,0.3033935197375037,6.086459105665034
The Americas,2020,9.524748101378933,0.8240146478920273,66.20340884815563,0.8287876392855789,-0.044987585564905924,0.7494973242282867,0.739451144229282,0.3292951410015424,5.774631753112331
The Americas,2021,9.57551404201623,0.8324623956824794,66.30681835521351,0.819171327533144,0.00016518280079420776,0.7607477049935948,0.7479976090517911,0.3120264070052089,5.939280397964246
The Americas,2022,9.602287639271129,0.8434453877535734,66.41022699529475,0.8320111632347107,-0.0275393224702301,0.7626030567017469,0.7575483918190002,0.29776876961643045,6.134806383739818
The Americas,2023,9.614690260453658,0.8299968188459222,66.5136363289573,0.8353420116684653,-0.02266012743877413,0.7612202614545822,0.7578373063694347,0.29941162873398175,6.190713871609081
